Level;Code;Code;Description;Self-explanatory texts in English;Self-explanatory texts in French;Self-explanatory texts in German
5;510219000080;5102.19;-- Los demás;"Fine animal hair, neither carded nor combed (excl. wool and hair of Kashmir ""cashmere"" goats)";Poils fins, non-cardés ni peignés (à l'excl. de la laine et de chèvre du Cachemire);"Tierhaare, fein, weder gekrempelt noch gekämmt (ausg. Wolle sowie Kaschmirziegenhaare ""cashmere"")"
4;510220000080;5102.20;- Pelo ordinario;Coarse animal hair, neither carded nor combed (excl. wool, hair and bristles used in the manufacture of brooms and brushes, and horsehair from the mane or tail);Poils grossiers, non-cardés ni peignés (à l'excl. des poils et soies de brosserie ainsi que des crins [poils de la crinière ou de la queue]);Tierhaare, grob, weder gekrempelt noch gekämmt (ausg. Haare und Borsten zum Herstellen von Besen, Bürsten oder Pinseln sowie Rosshaar [aus der Mähne oder dem Schweif])
3;510300000080;51.03; Desperdicios de lana o de pelo fino u ordinario, incluidos los desperdicios de hilados (excepto las hilachas);Waste of wool or of fine or coarse animal hair, incl. yarn waste (excl. garnetted stock, waste of hair and bristles used in the manufacture of brooms and brushes, and of horsehair from the mane or tail);Déchets de laine ou de poils fins ou grossiers, y.c. les déchets de fils (à l'excl. des effilochés, des déchets de poils et soies de brosserie ainsi que des déchets de crins [poils de la crinière ou de la queue]);"Abfälle von Wolle oder feinen oder groben Tierhaaren ""einschl. Garnabfälle"" (ausg. Reißspinnstoff, Abfälle von Haaren und Borsten zum Herstellen von Besen, Bürsten oder Pinseln sowie Rosshaarabfälle [von Rosshaar aus der Mähne oder dem Schweif])"
4;510310000080;5103.10;- Borras del peinado de lana o pelo fino;Noils of wool or of fine animal hair (excl. garnetted stock);Blousses de laine ou de poils fins (à l'excl. des effilochés);Kämmlinge von Wolle oder feinen Tierhaaren (ausg. Reißspinnstoff)
4;510320000080;5103.20;- Los demás desperdicios de lana o pelo fino;Waste of wool or of fine animal hair, incl. yarn waste (excl. noils and garnetted stock);Déchets de laine ou de poils fins, y.c. les déchets de fils (à l'excl. des blousses et des effilochés);"Abfälle von Wolle oder feinen Tierhaaren ""einschl. Garnabfälle"" (ausg. Kämmlinge sowie Reißspinnstoff)"
4;510330000080;5103.30;- Desperdicios de pelo ordinario;Waste of coarse animal hair, incl. yarn waste (excl. garnetted stock, waste of hair or bristles used in the manufacture of brooms and brushes, and of horsehair from the mane or tail);Déchets de poils grossiers, y.c. les déchets de fils (à l'excl. des effilochés, des déchets de poils et soies de brosserie ainsi que des déchets de crins [poils de la crinière ou de la queue]);"Abfälle von groben Tierhaaren ""einschl. Garnabfälle"" (ausg. Reißspinnstoff, Abfälle von Haaren oder Borsten zum Herstellen von Besen, Bürsten oder Pinseln sowie Rosshaarabfälle [von Rosshaar aus der Mähne oder dem Schweif])"
3;510400000080;5104.00; Hilachas de lana o pelo fino u ordinario;Garnetted stock of wool or of fine or coarse animal hair, neither carded nor combed;Effilochés de laine ou de poils fins ou grossiers, non-cardés ni peignés;Reißspinnstoff aus Wolle oder feinen oder groben Tierhaaren, weder gekrempelt noch gekämmt
3;510500000080;51.05; Lana y pelo fino u ordinario, cardados o peinados, incluida la «lana peinada a granel»;Wool and fine or coarse animal hair, carded or combed, incl. combed wool in fragments;Laine, poils fins ou grossiers, cardés ou peignés, y.c. la 'laine peignée en vrac';"Wolle, feine oder grobe Tierhaare, gekrempelt oder gekämmt ""einschl. gekämmte Wolle in loser Form"""
4;510510000080;5105.10;- Lana cardada;Wool, carded;Laine cardée;Wolle, gekrempelt
4;510521000010;;- Lana peinada;;;
5;510521000080;5105.21;-- «Lana peinada a granel»;"Wool, combed, in fragments ""open tops""";'Laine peignée en vrac';"Wolle, gekämmt, in loser Form ""open tops"""
5;510529000080;5105.29;-- Las demás;"Wool, combed (excl. that in fragments ""open tops"")";Laine peignée (à l'excl. de la 'laine peignée en vrac');Wolle, gekämmt (ausg. in loser Form [open tops])
4;510531000010;;- Pelo fino cardado o peinado;;;
5;510531000080;5105.31;-- De cabra de Cachemira;"Hair of Kashmir ""cashmere"" goats, carded or combed";Poils de chèvre du Cachemire, cardés ou peignés;"Kaschmirziegenhaare ""cashmere"", gekrempelt oder gekämmt"
5;510539000080;5105.39;-- Los demás;"Fine animal hair, carded or combed (excl. wool and hair of Kashmir ""cashmere"" goats)";Poils fins, cardés ou peignés (à l'excl. de la laine et de chèvre du Cachemire);"Tierhaare, fein, gekrempelt oder gekämmt (ausg. Wolle sowie Kaschmirziegenhaare ""cashmere"")"
4;510540000080;5105.40;- Pelo ordinario cardado o peinado;Coarse animal hair, carded or combed;Poils grossiers, cardés ou peignés;Tierhaare, grob, gekrempelt oder gekämmt
3;510600000080;51.06; Hilados de lana cardada sin acondicionar para la venta al por menor;Carded wool yarn (excl. that put up for retail sale);Fils de laine cardée (non-conditionnés pour la vente au détail);Streichgarne aus Wolle (ausg. in Aufmachungen für den Einzelverkauf)
4;510610000080;5106.10;- Con un contenido de lana superior o igual al 85 % en peso;Carded wool yarn containing >= 85% wool by weight (excl. that put up for retail sale);Fils de laine cardée, contenant >= 85% en poids de laine (non-conditionnés pour la vente au détail);Streichgarne mit einem Anteil an Wolle von >= 85 GHT (ausg. in Aufmachungen für den Einzelverkauf)
4;510620000080;5106.20;- Con un contenido de lana inferior al 85 % en peso;Carded wool yarn containing predominantly, but < 85% wool by weight (excl. that put up for retail sale);Fils de laine cardée, contenant en prédominance, mais < 85% en poids de laine (non-conditionnés pour la vente au détail);Streichgarne aus überwiegend, jedoch < 85 GHT Wolle (ausg. in Aufmachungen für den Einzelverkauf)
3;510700000080;51.07; Hilados de lana peinada sin acondicionar para la venta al por menor;Yarn of combed wool (excl. that put up for retail sale);Fils de laine peignée, non-conditionnés pour la vente au détail;Kammgarne aus Wolle (ausg. in Aufmachungen für den Einzelverkauf)
4;510710000080;5107.10;- Con un contenido de lana superior o igual al 85 % en peso;Yarn of combed wool containing >= 85% wool by weight (excl. that put up for retail sale);Fils de laine peignée, contenant >= 85% en poids de laine, non-conditionnés pour la vente au détail;Kammgarne mit einem Anteil an Wolle von >= 85 GHT (ausg. in Aufmachungen für den Einzelverkauf)
4;510720000080;5107.20;- Con un contenido de lana inferior al 85 % en peso;Yarn of combed wool containing predominantly, but < 85% wool by weight (excl. that put up for retail sale);Fils de laine peignée, contenant en prédominance, mais < 85% en poids de laine, non-conditionnés pour la vente au détail;Kammgarne aus überwiegend, jedoch < 85 GHT Wolle (ausg. in Aufmachungen für den Einzelverkauf)
3;510800000080;51.08; Hilados de pelo fino cardado o peinado, sin acondicionar para la venta al por menor;Carded or combed yarn of fine animal hair (excl. that of wool or that put up for retail sale);Fils de poils fins, cardés ou peignés, non-conditionnés pour la vente au détail (à l'excl. des fils de laine);Streichgarne oder Kammgarne aus feinen Tierhaaren (ausg. aus Wolle sowie in Aufmachungen für den Einzelverkauf)
4;510810000080;5108.10;- Cardado;Carded yarn of fine animal hair (excl. that of wool or that put up for retail sale);Fils de poils fins, cardés, non-conditionnés pour la vente au détail (à l'excl. des fils de laine);Streichgarne aus feinen Tierhaaren (ausg. aus Wolle sowie in Aufmachungen für den Einzelverkauf)
4;510820000080;5108.20;- Peinado;Combed yarn of fine animal hair (excl. that of wool and that put up for retail sale);Fils de poils fins, peignés, non-conditionnés pour la vente au détail (à l'excl. des fils de laine);Kammgarne aus feinen Tierhaaren (ausg. aus Wolle sowie in Aufmachungen für den Einzelverkauf)
3;510900000080;51.09; Hilados de lana o pelo fino, acondicionados para la venta al por menor;Yarn of wool or fine animal hair, put up for retail sale;Fils de laine ou de poils fins, conditionnés pour la vente au détail;Garne aus Wolle oder feinen Tierhaaren, in Aufmachungen für den Einzelverkauf
4;510910000080;5109.10;- Con un contenido de lana o pelo fino superior o igual al 85 % en peso;Yarn containing >= 85% wool or fine animal hair by weight, put up for retail sale;Fils de laine ou de poils fins, contenant >= 85% en poids de laine ou de poils fins, conditionnés pour la vente au détail;Garne mit einem Anteil an Wolle oder feinen Tierhaaren von >= 85 GHT, in Aufmachungen für den Einzelverkauf
4;510990000080;5109.90;- Los demás;Yarn containing predominantly, but < 85% wool or fine animal hair by weight, put up for retail sale;Fils de laine ou de poils fins, contenant en prédominance, mais < 85% en poids de laine ou de poils fins, conditionnés pour la vente au détail;Garne aus überwiegend, jedoch < 85 GHT Wolle oder feinen Tierhaaren, in Aufmachungen für den Einzelverkauf
3;511000000080;5110.00; Hilados de pelo ordinario o de crin, incluidos los hilados de crin entorchados, aunque estén acondicionados para la venta al por menor;Yarn of coarse animal hair or of horsehair, incl. gimped horsehair yarn, whether or not put up for retail sale (excl. horsehair and yarn not joined together);Fils de poils grossiers ou de crin, y.c. les fils de crin guipés, même conditionnés pour la vente au détail (à l'excl. des crins non-raccordés);"Garne aus groben Tierhaaren oder aus Rosshaar ""einschl. umsponnene Garne aus Rosshaar"", auch in Aufmachungen für den Einzelverkauf (ausg. Rosshaar, nicht aneinandergeknüpft)"
3;511100000080;51.11; Tejidos de lana cardada o pelo fino cardado;Woven fabrics of carded wool or of carded fine animal hair (excl. fabrics for technical use of heading 5911);Tissus de laine cardée ou de poils fins cardés (à l'excl. des tissus pour usages techniques du n° 5911);Streichgarngewebe aus Wolle oder feinen Tierhaaren (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
4;511111000010;;- Con un contenido de lana o pelo fino superior o igual al 85 % en peso;;;
5;511111000080;5111.11;-- De peso inferior o igual a 300 g/m²;Woven fabrics containing >= 85% carded wool or carded fine animal hair by weight and weighing <= 300 g/m²;Tissus de laine cardée ou de poils fins cardés, contenant >= 85% en poids de laine ou de poils fins, d'un poids <= 300 g/m²;Streichgarngewebe mit einem Anteil an Wolle oder feinen Tierhaaren von >= 85 GHT und mit einem Gewicht von <= 300 g/m² (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
5;511119000080;5111.19;-- Los demás;Woven fabrics containing >= 85% carded wool or carded fine animal hair by weight and weighing > 300 g/m² (excl. fabrics for technical uses specificed in heading 5911);Tissus de laine cardée ou de poils fins cardés, contenant >= 85% en poids de laine ou de poils fins, d'un poids > 300 g/m²;Streichgarngewebe mit einem Anteil an Wolle oder feinen Tierhaaren von >= 85 GHT und mit einem Gewicht von > 300 g/m² (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
4;511120000080;5111.20;- Los demás, mezclados exclusiva o principalmente con filamentos sintéticos o artificiales;Woven fabrics containing predominantly, but < 85% carded wool or carded fine animal hair by weight, mixed principally or solely with synthetic or artificial filaments;Tissus de laine cardée ou de poils fins cardés, contenant en prédominance, mais < 85% en poids de laine ou de poils fins, mélangés principalement ou uniquement avec des filaments synthétiques ou artificiels;Streichgarngewebe aus überwiegend, jedoch < 85 GHT Wolle oder feinen Tierhaaren, hauptsächlich oder ausschließlich mit synthetischen oder künstlichen Filamenten gemischt (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
4;511130000080;5111.30;- Los demás, mezclados exclusiva o principalmente con fibras sintéticas o artificiales discontinuas;Woven fabrics containing predominantly, but < 85% carded wool or carded fine animal hair by weight, mixed principally or solely with synthetic or artificial staple fibres;Tissus de laine cardée ou de poils fins cardés, contenant en prédominance, mais < 85% en poids de laine ou de poils fins, mélangés principalement ou uniquement avec des fibres synthétiques ou artificielles discontinues;Streichgarngewebe aus überwiegend, jedoch < 85 GHT Wolle oder feinen Tierhaaren, hauptsächlich oder ausschließlich mit synthetischen oder künstlichen Spinnfasern gemischt (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
4;511190000080;5111.90;- Los demás;Woven fabrics containing predominantly, but < 85% carded wool or carded fine animal hair by weight (excl. those mixed principally or solely with synthetic or artificial filaments or staple fibres);Tissus de laine cardée ou de poils fins cardés, contenant en prédominance, mais < 85% en poids de laine ou de poils fins (à l'excl. des tissus de laine ou de poils fins mélangés principalement ou uniquement avec des filaments synthétiques ou artificiels ou avec des fibres synthétiques ou artificielles discontinues);Streichgarngewebe aus überwiegend, jedoch < 85 GHT Wolle oder feinen Tierhaaren (ausg. hauptsächlich oder ausschließlich mit synthetischen oder künstlichen Filamenten oder Spinnfasern gemischt sowie Gewebe des technischen Bedarfs der Pos. 5911)
3;511200000080;51.12; Tejidos de lana peinada o pelo fino peinado;Woven fabrics of combed wool or of combed fine animal hair (excl. fabrics for technical purposes of heading 5911);Tissus de laine peignée ou de poils fins peignés (à l'excl. des tissus pour usages techniques du n° 5911);Kammgarngewebe aus Wolle oder feinen Tierhaaren (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
4;511211000010;;- Con un contenido de lana o pelo fino superior o igual al 85 % en peso;;;
5;511211000080;5112.11;-- De peso inferior o igual a 200 g/m²;Woven fabrics containing >= 85% combed wool or combed fine animal hair by weight and weighing <= 200 g/m² (excl. fabrics for technical uses of heading 5911);Tissus de laine peignée ou de poils fins peignés, contenant >= 85% en poids de laine ou de poils fins, d'un poids <= 200 g/m²;Kammgarngewebe mit einem Anteil an Wolle oder feinen Tierhaaren von >= 85 GHT und mit einem Gewicht von <= 200 g/m² (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
5;511219000080;5112.19;-- Los demás;Woven fabrics containing >= 85% combed wool or combed fine animal hair by weight and weighing > 200 g/m²;Tissus de laine peignée ou de poils fins peignés, contenant >= 85% en poids de laine ou de poils fins, d'un poids > 200 g/m²;Kammgarngewebe mit einem Anteil an Wolle oder feinen Tierhaaren von >= 85 GHT und mit einem Gewicht von > 200 g/m² (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
4;511220000080;5112.20;- Los demás, mezclados exclusiva o principalmente con filamentos sintéticos o artificiales;Woven fabrics containing predominantly, but < 85% combed wool or combed fine animal hair by weight, mixed principally or solely with synthetic or artificial filaments (excl. fabrics for technical uses of heading 5911);Tissus de laine peignée ou de poils fins peignés, contenant en prédominance, mais < 85% en poids de laine ou de poils fins, mélangés principalement ou uniquement avec des filaments synthétiques ou artificiels;Kammgarngewebe aus überwiegend, jedoch < 85 GHT Wolle oder feinen Tierhaaren, hauptsächlich oder ausschließlich mit synthetischen oder künstlichen Filamenten gemischt (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
4;511230000080;5112.30;- Los demás, mezclados exclusiva o principalmente con fibras sintéticas o artificiales discontinuas;Woven fabrics containing predominantly, but < 85% combed wool or combed fine animal hair by weight, mixed principally or solely with synthetic or artificial staple fibres (excl. fabrics for technical uses of heading 5911);Tissus de laine peignée ou de poils fins peignés, contenant en prédominance, mais < 85% en poids de laine ou de poils fins, mélangés principalement ou uniquement avec des fibres synthétiques ou artificielles discontinues;Kammgarngewebe aus überwiegend, jedoch < 85 GHT Wolle oder feinen Tierhaaren, hauptsächlich oder ausschließlich mit synthetischen oder künstlichen Spinnfasern gemischt (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
4;511290000080;5112.90;- Los demás;Woven fabrics containing predominantly, but < 85% combed wool or combed fine animal hair by weight (excl. those mixed principally or solely with synthetic or artificial filaments or staple fibres and fabrics for technical uses of heading 5911);Tissus de laine peignée ou de poils fins peignés, contenant en prédominance, mais < 85% en poids de laine ou de poils fins (à l'excl. des tissus de laine ou de poils fins mélangés principalement ou uniquement avec des filaments synthétiques ou artificiels ou avec des fibres synthétiques ou artificielles discontinues);Kammgarngewebe aus überwiegend, jedoch < 85 GHT Wolle oder feinen Tierhaaren (ausg. hauptsächlich oder ausschließlich mit synthetischen oder künstlichen Filamenten oder Spinnfasern gemischt sowie Gewebe des technischen Bedarfs der Pos. 5911)
3;511300000080;5113.00; Tejidos de pelo ordinario o de crin;Woven fabrics of coarse animal hair or of horsehair (excl. fabrics for technical uses of heading 5911);Tissus de poils grossiers ou de crin (à l'excl. des tissus pour usages techniques du n° 5911);Gewebe aus groben Tierhaaren oder aus Rosshaar (ausg. Gewebe des technischen Bedarfs der Pos. 5911)
2;520021000090;52; CAPÍTULO 52 - ALGODÓN;COTTON;COTON;BAUMWOLLE
3;520100000080;5201.00; Algodón sin cardar ni peinar;Cotton, neither carded nor combed;Coton, non-cardé ni peigné;Baumwolle, weder kardiert noch gekämmt
3;520200000080;52.02; Desperdicios de algodón, incluidos los desperdicios de hilados y las hilachas;Cotton waste, incl. yarn waste and garnetted stock;Déchets de coton, y.c. les déchets de fils et les effilochés;"Abfälle von Baumwolle ""einschl. Garnabfälle und Reißspinnstoff"""
4;520210000080;5202.10;- Desperdicios de hilados;Cotton yarn waste, incl. thread waste;Déchets de fils de coton;Garnabfälle von Baumwollgarn
4;520291000010;;- Los demás;;;
5;520291000080;5202.91;-- Hilachas;Garnetted stock of cotton;Effilochés de coton;Reißspinnstoff aus Baumwolle
5;520299000080;5202.99;-- Los demás;Cotton waste (excl. yarn waste, thread waste and garnetted stock);Déchets de coton (à l'excl. des déchets de fils et des effilochés);Abfälle von Baumwolle (ausg. Garnabfälle und Reißspinnstoff)
3;520300000080;5203.00; Algodón cardado o peinado;Cotton, carded or combed;Coton, cardé ou peigné;Baumwolle, kardiert oder gekämmt
3;520400000080;52.04; Hilo de coser de algodón, incluso acondicionado para la venta al por menor;Cotton sewing thread, whether or not put up for retail sale;Fils à coudre de coton, même conditionnés pour la vente au détail;Nähgarne aus Baumwolle, auch in Aufmachungen für den Einzelverkauf
4;520411000010;;- Sin acondicionar para la venta al por menor;;;
5;520411000080;5204.11;-- Con un contenido de algodón superior o igual al 85 % en peso;Sewing thread, containing >= 85% cotton by weight (excl. that put up for retail sale);Fils à coudre de coton, contenant >= 85% en poids de coton, non-conditionnés pour la vente au détail;Nähgarne aus Baumwolle, mit einem Anteil aus Baumwolle von >= 85 GHT (ausg. in Aufmachungen für den Einzelverkauf)
5;520419000080;5204.19;-- Los demás;Sewing thread, containing predominantly, but < 85% cotton by weight (excl. that put up for retail sale);Fils à coudre de coton, contenant en prédominance, mais < 85% en poids de coton, non-conditionnés pour la vente au détail;Nähgarne aus überwiegend, jedoch < 85 GHT Baumwolle (ausg. in Aufmachungen für den Einzelverkauf)
4;520420000080;5204.20;- Acondicionado para la venta al por menor;Cotton sewing thread, put up for retail sale;Fils à coudre de coton, conditionnés pour la vente au détail;Nähgarne aus Baumwolle, in Aufmachungen für den Einzelverkauf
3;520500000080;52.05; Hilados de algodón (excepto el hilo de coser) con un contenido de algodón superior o igual al 85 % en peso, sin acondicionar para la venta al por menor;Cotton yarn other than sewing thread, containing >= 85% cotton by weight (excl. that put up for retail sale);Fils de coton (autres que les fils à coudre), contenant >= 85% en poids de coton, non-conditionnés pour la vente au détail;"Garne aus Baumwolle ""andere als Nähgarne"", mit einem Anteil an Baumwolle von >= 85 GHT (ausg. in Aufmachungen für den Einzelverkauf)"
4;520511000010;;- Hilados sencillos de fibras sin peinar;;;
5;520511000080;5205.11;-- De título superior o igual a 714,29 decitex (inferior o igual al número métrico 14);"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear density of >= 714,29 decitex ""<= MN 14"" (excl. sewing thread and yarn put up for retail sale)";Fils simples de coton, en fibres non-peignées, contenant >= 85% en poids de coton, titrant >= 714,29 décitex [<= 14 numéros métriques] (sauf les fils à coudre et les fils conditionnés pour la vente au détail);"Garne, ungezwirnt, aus ungekämmten Baumwollfasern, mit einem Anteil an Baumwolle von >= 85 GHT und mit einem Titer von >= 714,29 dtex ""<= Nm 14"" (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)"
5;520512000080;5205.12;-- De título inferior a 714,29 decitex pero superior o igual a 232,56 decitex (superior al número métrico 14 pero inferior o igual al número métrico 43);"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear density of 232,56 decitex to < 714,29 decitex ""> MN 14 to MN 43"" (excl. sewing thread and yarn put up for retail sale)";Fils simples de coton, en fibres non-peignées, contenant >= 85% en poids de coton, titrant >= 232,56 décitex mais < 714,29 décitex [> 14 numéros métriques mais <= 43 numéros métriques] (sauf les fils à coudre et les fils conditionnés pour la vente au détail);"Garne, ungezwirnt, aus ungekämmten Baumwollfasern, mit einem Anteil an Baumwolle von >= 85 GHT und mit einem Titer von 232,56 dtex bis < 714,29 dtex ""> Nm 14 bis Nm 43"" (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)"
5;520513000080;5205.13;-- De título inferior a 232,56 decitex pero superior o igual a 192,31 decitex (superior al número métrico 43 pero inferior o igual al número métrico 52);"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear density of 192,31 decitex to < 232,56 decitex ""> MN 43 to MN 52"" (excl. sewing thread and yarn put up for retail sale)";Fils simples de coton, en fibres non-peignées, contenant >= 85% en poids de coton, titrant >= 192,31 décitex mais < 232,56 décitex [> 43 numéros métriques mais <= 52 numéros métriques] (sauf les fils à coudre et les fils conditionnés pour la vente au détail);"Garne, ungezwirnt, aus ungekämmten Baumwollfasern, mit einem Anteil an Baumwolle von >= 85 GHT und mit einem Titer von 192,31 dtex bis < 232,56 dtex ""> Nm 43 bis Nm 52"" (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)"
5;520514000080;5205.14;-- De título inferior a 192,31 decitex pero superior o igual a 125 decitex (superior al número métrico 52 pero inferior o igual al número métrico 80);"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear density of 125 decitex to < 192,31 decitex ""> MN 52 to MN 80"" (excl. sewing thread and yarn put up for retail sale)";Fils simples de coton, en fibres non-peignées, contenant >= 85% en poids de coton, titrant >= 125 décitex mais < 192,31 décitex [> 52 numéros métriques mais <= 80 numéros métriques] (sauf les fils à coudre et les fils conditionnés pour la vente au détail);"Garne, ungezwirnt, aus ungekämmten Baumwollfasern, mit einem Anteil an Baumwolle von >= 85 GHT und mit einem Titer von 125 dtex bis < 192,31 dtex ""> Nm 52 bis Nm 80"" (ausg. Nähgarne sowie Garne in Aufmachungen für den Einzelverkauf)"
